transaction_day,total_amount_withdrawn
1-12-22,186800
1-12-23,234600
1-12-24,90000
1-12-25,128900
1-12-26,220100
1-12-27,120500
1-12-28,88800
1-12-29,116000
1-12-30,40800
1-12-31,66200
2-01-01,193800
2-01-02,93300
2-01-03,141900
2-01-04,206800
2-01-05,281800
2-01-06,96900
2-01-07,128300
2-01-08,119100
2-01-09,166600
2-01-10,208000
2-01-11,200200
2-01-12,151900
2-01-13,62700
2-01-14,136200
2-01-15,114600
2-01-16,159700
2-01-17,130500
2-01-18,204300
2-01-19,141400
2-01-20,150300
2-01-21,193200
2-01-22,106900
2-01-23,235900
2-01-24,114700
2-01-25,190900
2-01-26,137800
2-01-27,123100
2-01-28,137700
2-01-29,157600
2-01-30,241700
2-01-31,157700
2-02-01,173900
2-02-02,217300
2-02-03,208300
2-02-04,126500
2-02-05,148800
2-02-06,111100
2-02-07,184600
2-02-08,196800
2-02-09,176100
2-02-10,234500
2-02-11,261200
2-02-12,169900
2-02-13,175100
2-02-14,182900
2-02-15,277100
2-02-16,153000
2-02-17,162000
2-02-18,107600
2-02-19,58900
2-02-20,15600
2-02-21,207300
2-02-22,107300
2-02-23,122200
2-02-24,101600
2-02-25,154300
2-02-26,134900
2-02-27,110200
2-02-28,219900
2-02-29,146100
2-03-01,47200
2-03-02,12000
2-03-03,185100
2-03-04,140900
2-03-05,123300
2-03-06,273300
2-03-07,159200
2-03-08,117100
2-03-09,199100
2-03-10,163900
2-03-11,106400
2-03-12,163300
2-03-13,195500
2-03-14,241400
2-03-15,224200
2-03-16,126500
2-03-17,145800
2-03-18,94900
2-03-19,93800
2-03-20,225800
2-03-21,119000
2-03-22,253800
2-03-23,124400
2-03-24,156100
2-03-25,144000
2-03-26,153900
2-03-27,81100
2-03-28,84600
2-03-29,118700
2-03-30,210400
2-03-31,237000
2-04-01,181500
2-04-02,154100
2-04-03,229900
2-04-04,264200
2-04-05,183300
2-04-06,142500
2-04-07,146600
2-04-08,127800
2-04-09,197500
2-04-10,295100
2-04-11,257600
2-04-12,145700
2-04-13,225600
2-04-14,285300
2-04-15,308400
2-04-16,82300
2-04-17,38000
2-04-18,75700
2-04-19,126700
2-04-20,112200
2-04-21,200800
2-04-22,135700
2-04-23,96800
2-04-24,121000
2-04-25,86600
2-04-26,172500
2-04-27,203000
2-04-28,128000
2-04-29,73000
2-04-30,30600
2-05-01,154300
2-05-02,169800
2-05-03,124300
2-05-04,174000
2-05-05,55500
2-05-06,88700
2-05-07,146900
2-05-08,166700
2-05-09,182700
2-05-10,210500
2-05-11,193300
2-05-12,116700
2-05-13,195600
2-05-14,155500
2-05-15,179200
2-05-16,174700
2-05-17,207600
2-05-18,180200
2-05-19,125200
2-05-20,124900
2-05-21,84400
2-05-22,156300
2-05-23,245700
2-05-24,140900
2-05-25,171300
2-05-26,182000
2-05-27,112200
2-05-28,165600
2-05-29,205500
2-05-30,158600
2-05-31,185100
2-06-01,135600
2-06-02,108000
2-06-03,71300
2-06-04,44400
2-06-05,170100
2-06-06,170400
2-06-07,284800
2-06-08,292000
2-06-09,211600
2-06-10,256000
2-06-11,221200
2-06-12,456400
2-06-13,205100
2-06-14,150700
2-06-15,327300
2-06-16,268600
2-06-17,174700
2-06-18,229200
2-06-19,273900
2-06-20,271800
2-06-21,308800
2-06-22,157800
2-06-23,88900
2-06-24,39100
2-06-25,261900
2-06-26,215200
2-06-27,92800
2-06-28,104700
2-06-29,208500
2-06-30,124600
2-07-01,410800
2-07-02,257900
2-07-03,290000
2-07-04,138600
2-07-05,271700
2-07-06,157300
2-07-07,227300
2-07-08,175500
2-07-09,283700
2-07-10,382000
2-07-11,182900
2-07-12,168700
2-07-13,200500
2-07-14,195700
2-07-15,203500
2-07-16,239000
2-07-17,248900
2-07-18,123500
2-07-19,126800
2-07-20,86100
2-07-21,131700
2-07-22,93700
2-07-23,100200
2-07-24,196000
2-07-25,377600
2-07-26,150600
2-07-27,53400
