transaction_day,total_amount_withdrawn
1-12-20,417600
1-12-21,353700
1-12-22,342600
1-12-23,396600
1-12-24,509000
1-12-25,256400
1-12-26,141700
1-12-27,263200
1-12-28,437000
1-12-29,350000
1-12-30,253600
1-12-31,749100
2-01-01,378800
2-01-02,574000
2-01-03,520400
2-01-04,529000
2-01-05,516400
2-01-06,431800
2-01-07,766600
2-01-08,598400
2-01-09,471100
2-01-10,631100
2-01-11,530900
2-01-12,538800
2-01-13,704600
2-01-14,688900
2-01-15,122300
2-01-16,137400
2-01-17,178200
2-01-18,335000
2-01-19,216200
2-01-20,423000
2-01-21,464300
2-01-22,440600
2-01-23,479600
2-01-24,282500
2-01-25,655300
2-01-26,352300
2-01-27,526100
2-01-28,514100
2-01-29,274500
2-01-30,366100
2-01-31,189300
2-02-01,629500
2-02-02,474500
2-02-03,523000
2-02-04,778500
2-02-05,341600
2-02-06,449700
2-02-07,510200
2-02-08,568700
2-02-09,586100
2-02-10,494800
2-02-11,616600
2-02-12,407300
2-02-13,365200
2-02-14,374800
2-02-15,550600
2-02-16,503000
2-02-17,248500
2-02-18,405600
2-02-19,256600
2-02-20,544700
2-02-21,348700
2-02-22,375700
2-02-23,338500
2-02-24,398800
2-02-25,503800
2-02-26,267800
2-02-27,258000
2-02-28,110500
2-02-29,606000
2-03-01,707900
2-03-02,594900
2-03-03,636100
2-03-04,686000
2-03-05,552300
2-03-06,520800
2-03-07,635600
2-03-08,574000
2-03-09,440200
2-03-10,777200
2-03-11,265200
2-03-12,382400
2-03-13,478000
2-03-14,442400
2-03-15,466600
2-03-16,394500
2-03-17,455700
2-03-18,438100
2-03-19,547500
2-03-20,446500
2-03-21,537200
2-03-22,610900
2-03-23,297900
2-03-24,584000
2-03-25,289000
2-03-26,609600
2-03-27,333700
2-03-28,522200
2-03-29,521600
2-03-30,510600
2-03-31,661500
2-04-01,503800
2-04-02,541600
2-04-03,751200
2-04-04,639600
2-04-05,527100
2-04-06,372300
2-04-07,711900
2-04-08,393900
2-04-09,653100
2-04-10,364400
2-04-11,616200
2-04-12,689200
2-04-13,293100
2-04-14,405200
2-04-15,253700
2-04-16,426800
2-04-17,180400
2-04-18,630200
2-04-19,367300
2-04-20,466000
2-04-21,600000
2-04-22,372200
2-04-23,594300
2-04-24,310100
2-04-25,452000
2-04-26,558000
2-04-27,421900
2-04-28,406400
2-04-29,316300
2-04-30,312400
2-05-01,266200
2-05-02,662200
2-05-03,481200
2-05-04,277900
2-05-05,53400
2-05-06,28300
2-05-07,33100
2-05-08,380300
2-05-09,671200
2-05-10,682400
2-05-11,467300
2-05-12,968700
2-05-13,350200
2-05-14,449100
2-05-15,570600
2-05-16,660400
2-05-17,289100
2-05-18,556800
2-05-19,404800
2-05-20,123800
2-05-21,527800
2-05-22,601100
2-05-23,504400
2-05-24,359300
2-05-25,487500
2-05-26,608100
2-05-27,364200
2-05-28,718600
2-05-29,423300
2-05-30,404600
2-05-31,580000
2-06-01,626100
2-06-02,904600
2-06-03,518300
2-06-04,523600
2-06-05,561500
2-06-06,599600
2-06-07,464600
2-06-08,763100
2-06-09,823100
2-06-10,512500
2-06-11,522200
2-06-12,691600
2-06-13,610000
2-06-14,832900
2-06-15,644900
2-06-16,755900
2-06-17,429300
2-06-18,507100
2-06-19,403500
2-06-20,512500
2-06-21,258200
2-06-22,534100
2-06-23,498400
2-06-24,315300
2-06-25,491100
2-06-26,607300
2-06-27,430100
2-06-28,467100
2-06-29,506200
2-06-30,420800
2-07-01,558200
2-07-02,802500
2-07-03,493900
2-07-04,621100
2-07-05,692500
2-07-06,491800
2-07-07,404200
2-07-08,573700
2-07-09,535600
2-07-10,449600
2-07-11,701800
2-07-12,339000
2-07-13,384700
2-07-14,622300
2-07-15,389600
2-07-16,568400
2-07-17,555800
2-07-18,587400
2-07-19,611500
2-07-20,456800
2-07-21,823500
2-07-22,502300
2-07-23,359900
2-07-24,499200
2-07-25,339900
2-07-26,639900
2-07-27,552100
2-07-28,438900
2-07-29,376100
2-07-30,587700
2-07-31,587800
2-08-01,850900
2-08-02,636300
2-08-03,554300
2-08-04,708400
2-08-05,700700
2-08-06,658200
2-08-07,647600
2-08-08,610800
2-08-09,583000
2-08-10,550100
2-08-11,632000
2-08-12,386500
2-08-13,617800
2-08-14,660700
2-08-15,542600
2-08-16,702600
2-08-17,502800
2-08-18,531900
2-08-19,176600
2-08-20,396900
2-08-21,600600
2-08-22,447600
2-08-23,268300
2-08-24,586000
2-08-25,778700
2-08-26,444000
2-08-27,360500
2-08-28,425600
2-08-29,354700
2-08-30,390400
2-08-31,606200
2-09-01,878300
2-09-02,346000
2-09-03,574600
2-09-04,791800
2-09-05,540500
2-09-06,557200
2-09-07,538300
2-09-08,409700
2-09-09,254300
2-09-10,695800
2-09-11,671500
2-09-12,451700
2-09-13,455500
2-09-14,624200
2-09-15,589800
2-09-16,345100
2-09-17,544900
2-09-18,502800
2-09-19,217100
2-09-20,469200
2-09-21,545800
2-09-22,546000
2-09-23,232500
2-09-24,503400
2-09-25,391900
2-09-26,484200
2-09-27,454000
2-09-28,536900
2-09-29,213200
2-09-30,487300
2-10-1,884200
2-10-2,426900
2-10-3,498700
2-10-4,524900
2-10-5,566000
2-10-6,502700
2-10-7,454400
2-10-8,793500
2-10-9,621500
2-10-10,678200
2-10-11,600000
2-10-12,182700
2-10-13,267300
2-10-14,481500
2-10-15,946600
2-10-16,554300
2-10-17,526700
2-10-18,236400
2-10-19,276600
2-10-20,564200
2-10-21,292200
2-10-22,651100
2-10-23,313400
2-10-24,451800
2-10-25,428400
2-10-26,518200
2-10-27,494700
2-10-28,307000
2-10-29,556300
2-10-30,112000
2-10-31,327500
2-11-1,655600
2-11-2,555500
2-11-3,498900
2-11-4,607000
2-11-5,757600
2-11-6,508900
2-11-7,956700
2-11-8,749100
2-11-9,678100
2-11-10,965400
2-11-11,558600
2-11-12,501600
2-11-13,140700
2-11-14,514100
2-11-15,502700
2-11-16,391400
2-11-17,420800
2-11-18,436300
2-11-19,520000
2-11-20,334600
2-11-21,352800
2-11-22,553600
2-11-23,381300
2-11-24,432800
2-11-25,359600
2-11-26,315500
2-11-27,259000
2-11-28,420300
2-11-29,258500
2-11-30,475400
2-12-1,530900
2-12-2,492900
2-12-3,598000
2-12-4,421900
2-12-5,548300
2-12-6,627700
2-12-7,733400
2-12-8,778900
2-12-9,453100
2-12-10,499800
2-12-11,507000
2-12-12,650900
2-12-13,254000
2-12-14,451600
2-12-15,568200
2-12-16,430300
2-12-17,526100
2-12-18,503400
2-12-19,548000
2-12-20,411700
2-12-21,444800
2-12-22,479700
2-12-23,276500
2-12-24,472300
2-12-25,246000
2-12-26,344100
2-12-27,362900
2-12-28,177600
2-12-29,146400
2-12-30,442800
2-12-31,821300
3-01-01,315400
3-01-02,670700
3-01-03,480700
3-01-04,505600
3-01-05,1034000
3-01-06,375500
3-01-07,863100
3-01-08,609300
3-01-09,543800
3-01-10,709300
3-01-11,734400
3-01-12,696600
3-01-13,394600
3-01-14,174000
3-01-15,197000
3-01-16,298200
3-01-17,486700
3-01-18,348600
3-01-19,520000
3-01-20,395800
3-01-21,583500
3-01-22,512000
3-01-23,332800
3-01-24,648700
3-01-25,365300
3-01-26,396000
3-01-27,246900
3-01-28,672700
3-01-29,504800
3-01-30,371500
3-01-31,573900
3-02-01,606700
3-02-02,688700
3-02-03,519400
3-02-04,763600
3-02-05,558000
3-02-06,860200
3-02-07,915100
3-02-08,557200
3-02-09,820700
3-02-10,246700
3-02-11,702800
3-02-12,526200
3-02-13,638600
3-02-14,644600
3-02-15,651000
3-02-16,551100
3-02-17,484200
3-02-18,484500
3-02-19,551000
3-02-20,458200
3-02-21,521800
3-02-22,402100
3-02-23,599100
3-02-24,358200
3-02-25,572500
3-02-26,295000
3-02-27,480100
3-02-28,833600
3-03-01,471000
3-03-02,803600
3-03-03,525000
3-03-04,608400
3-03-05,470100
3-03-06,705600
3-03-07,568700
3-03-08,629500
3-03-09,943900
3-03-10,524800
3-03-11,434200
3-03-12,671100
3-03-13,767800
3-03-14,593200
3-03-15,447600
3-03-16,555700
3-03-17,499200
3-03-18,589700
3-03-19,516700
3-03-20,639700
3-03-21,392800
3-03-22,347200
3-03-23,501800
3-03-24,197800
3-03-25,475300
3-03-26,249900
3-03-27,319400
3-03-28,672400
3-03-29,519400
3-03-30,444000
3-03-31,456000
3-04-01,269200
3-04-02,755300
3-04-03,577300
3-04-04,655000
3-04-05,542800
3-04-06,757600
3-04-07,631600
3-04-08,537300
3-04-09,652300
3-04-10,957500
3-04-11,599500
3-04-12,370000
3-04-13,505000
3-04-14,333200
3-04-15,347000
3-04-16,461100
3-04-17,536600
3-04-18,341800
3-04-19,603300
3-04-20,590800
3-04-21,548200
3-04-22,548000
3-04-23,560200
3-04-24,688900
3-04-25,454500
3-04-26,344300
3-04-27,657800
3-04-28,119100
3-04-29,213200
3-04-30,644500
3-05-01,458000
3-05-02,555400
3-05-03,491900
3-05-04,771000
3-05-05,406500
3-05-06,429100
3-05-07,365300
3-05-08,460600
3-05-09,453500
3-05-10,590000
3-05-11,351000
3-05-12,447100
3-05-13,645700
3-05-14,349200
3-05-15,553300
3-05-16,494100
3-05-17,307100
3-05-18,509400
3-05-19,278600
3-05-20,410200
3-05-21,660200
3-05-22,709300
3-05-23,421300
3-05-24,445100
3-05-25,659400
3-05-26,272300
3-05-27,482700
3-05-28,497600
3-05-29,638100
3-05-30,399500
3-05-31,406700
3-06-01,905800
3-06-02,738900
3-06-03,664900
3-06-04,560300
3-06-05,765500
3-06-06,727100
3-06-07,453200
3-06-08,893000
3-06-09,532900
3-06-10,572000
3-06-11,596400
3-06-12,557900
3-06-13,566500
3-06-14,551000
3-06-15,799400
3-06-16,155800
3-06-17,413300
3-06-18,444700
3-06-19,610600
3-06-20,520500
3-06-21,450900
3-06-22,721800
3-06-23,388600
3-06-24,462000
3-06-25,145100
3-06-26,574000
3-06-27,410600
3-06-28,647300
3-06-29,763400
3-06-30,827200
3-07-01,682600
3-07-02,404000
3-07-03,800000
3-07-04,666200
3-07-05,704400
3-07-06,517800
3-07-07,593500
3-07-08,624700
3-07-09,501600
3-07-10,785000
3-07-11,648100
3-07-12,413700
3-07-13,1027600
3-07-14,228700
3-07-15,511300
3-07-16,656700
3-07-17,815300
3-07-18,254700
3-07-19,359000
3-07-20,775800
3-07-21,365300
3-07-22,663500
3-07-23,516700
3-07-24,292900
3-07-25,528400
3-07-26,512500
3-07-27,577000
3-07-28,446000
3-07-29,383000
3-07-30,459400
3-07-31,622600
3-08-01,824000
3-08-02,1037400
3-08-03,1125300
3-08-04,565000
3-08-05,816800
3-08-06,617900
3-08-07,820800
3-08-08,755200
3-08-09,520900
3-08-10,536100
3-08-11,192300
3-08-12,766100
3-08-13,726800
3-08-14,461300
3-08-15,444200
3-08-16,522000
3-08-17,577400
3-08-18,459100
3-08-19,552100
3-08-20,645600
3-08-21,593400
3-08-22,512300
3-08-23,440800
3-08-24,391900
3-08-25,710200
3-08-26,752700
3-08-27,560300
3-08-28,454900
3-08-29,588400
3-08-30,395400
3-08-31,1024000
3-09-01,829800
3-09-02,735500
3-09-03,747200
3-09-04,374000
3-09-05,656600
3-09-06,633100
3-09-07,619800
3-09-08,326400
3-09-09,1000
3-09-10,368100
3-09-11,529100
3-09-12,747100
3-09-13,508100
3-09-14,658800
3-09-15,439700
3-09-16,459300
3-09-17,468300
3-09-18,623700
3-09-19,558300
3-09-20,343900
3-09-21,538800
3-09-22,147000
3-09-23,426800
3-09-24,504200
3-09-25,384000
3-09-26,515000
3-09-27,345700
3-09-28,796200
3-09-29,489000
3-09-30,742600
3-10-1,666700
3-10-2,606100
3-10-3,813200
3-10-4,723100
3-10-5,954500
3-10-6,351300
3-10-7,707700
3-10-8,815800
3-10-9,582100
3-10-10,801900
3-10-11,618900
3-10-12,725400
3-10-13,354100
3-10-14,602100
3-10-15,716100
3-10-16,468800
3-10-17,693900
3-10-18,324700
3-10-19,340100
3-10-20,412400
3-10-21,415400
3-10-22,593900
3-10-23,526200
3-10-24,592200
3-10-25,587200
3-10-26,634500
3-10-27,313200
3-10-28,646500
3-10-29,737100
3-10-30,863000
3-10-31,761000
3-11-1,528900
3-11-2,297400
3-11-3,562800
3-11-4,870400
3-11-5,894500
3-11-6,953900
3-11-7,693400
3-11-8,562800
3-11-9,907800
3-11-10,509100
3-11-11,612800
3-11-12,558700
3-11-13,512600
3-11-14,553100
3-11-15,209200
3-11-16,214000
3-11-17,263200
3-11-18,592300
3-11-19,526200
3-11-20,564400
3-11-21,719000
3-11-22,489300
3-11-23,584000
3-11-24,252300
3-11-25,499900
3-11-26,391500
3-11-27,334300
3-11-28,518600
3-11-29,565800
3-11-30,326300
3-12-1,648300
3-12-2,658000
3-12-3,826700
3-12-4,614500
3-12-5,794600
3-12-6,234500
3-12-7,570800
3-12-8,401800
3-12-9,762500
3-12-10,440800
3-12-11,593000
3-12-12,352200
3-12-23,325000
3-12-24,106100
3-12-25,21200
3-12-28,156300
3-12-29,445400
3-12-30,465200
3-12-31,721900
4-01-01,349500
4-01-02,221600
4-01-03,552600
4-01-04,291700
4-01-05,510200
4-01-06,233400
4-01-07,605400
4-01-08,556800
4-01-09,588300
4-01-10,717300
4-01-11,784300
4-01-12,553100
4-01-13,498300
4-01-14,231000
4-01-15,313100
4-01-16,217900
4-01-17,514700
4-01-18,570700
4-01-19,530300
4-01-20,793400
4-01-21,244500
4-01-22,615800
4-01-23,547200
4-01-24,380500
4-01-25,386900
4-01-26,435900
4-01-27,524800
4-01-28,494900
4-01-29,372900
4-01-30,715300
4-01-31,643500
4-02-01,654500
4-02-02,419200
4-02-03,666500
4-02-04,742200
4-02-05,437800
4-02-06,621500
4-02-07,483300
4-02-08,607300
4-02-09,430300
4-02-10,576200
4-02-11,423900
4-02-12,313300
4-02-13,14700
4-02-14,420800
4-02-15,793000
4-02-16,506900
4-02-17,451400
4-02-18,570700
4-02-19,359400
4-02-20,449200
4-02-21,335400
4-02-22,320300
4-02-23,353200
4-02-24,508200
4-02-25,449300
4-02-26,367100
4-02-27,342500
4-02-28,504700
4-03-01,341600
4-03-02,845300
4-03-03,355400
4-03-04,604200
4-03-05,619500
4-03-06,660400
4-03-07,379600
4-03-08,758300
4-03-09,314900
4-03-10,469300
4-03-11,551100
4-03-12,742100
4-03-13,504500
4-03-14,645700
4-03-15,473200
4-03-16,287000
4-03-17,525500
4-03-18,494800
4-03-19,576500
4-03-20,412900
4-03-21,577700
4-03-22,521600
4-03-23,448400
4-03-24,448800
4-03-25,448900
4-03-26,511400
4-03-27,759700
4-03-28,627400
4-03-29,936400
4-03-30,519600
4-03-31,746400
4-04-02,206200
4-04-03,141100
4-04-04,500
4-04-07,11800
4-04-12,268400
4-04-13,458000
4-04-14,176400
4-04-15,77000
4-04-16,20400
4-04-17,28100
4-04-18,239900
4-04-19,398200
4-04-20,587100
4-04-21,512100
4-04-22,606600
4-04-23,748700
4-04-24,453800
4-04-25,494100
4-04-26,846700
4-04-27,394000
4-04-28,313200
4-04-29,618200
4-04-30,772800
4-05-01,443600
4-05-02,455200
4-05-03,978600
4-05-04,494900
4-05-05,502400
4-05-06,595400
4-05-07,724200
