transaction_day,total_amount_withdrawn
04-01,181500
04-02,154100
04-03,229900
04-04,264200
04-05,183300
04-06,142500
04-07,146600
04-08,127800
04-09,197500
04-10,295100
04-11,257600
04-12,145700
04-13,225600
04-14,285300
04-15,308400
04-16,82300
04-17,38000
04-18,75700
04-19,126700
04-20,112200
04-21,200800
04-22,135700
04-23,96800
04-24,121000
04-25,86600
04-26,172500
04-27,203000
04-28,128000
04-29,73000
04-30,30600
05-01,154300
05-02,169800
05-03,124300
05-04,174000
05-05,55500
05-06,88700
05-07,146900
05-08,166700
05-09,182700
05-10,210500
05-11,193300
05-12,116700
05-13,195600
05-14,155500
05-15,179200
05-16,174700
05-17,207600
05-18,180200
05-19,125200
05-20,124900
05-21,84400
05-22,156300
05-23,245700
05-24,140900
05-25,171300
05-26,182000
05-27,112200
05-28,165600
05-29,205500
05-30,158600
05-31,185100
06-01,135600
06-02,108000
06-03,71300
06-04,44400
06-05,170100
06-06,170400
06-07,284800
06-08,292000
06-09,211600
06-10,256000
06-11,221200
06-12,456400
06-13,205100
06-14,150700
06-15,327300
06-16,268600
06-17,174700
06-18,229200
06-19,273900
06-20,271800
06-21,308800
06-22,157800
06-23,88900
06-24,39100
06-25,261900
06-26,215200
06-27,92800
06-28,104700
06-29,208500
06-30,124600
07-01,410800
07-02,257900
07-03,290000
07-04,138600
07-05,271700
07-06,157300
07-07,227300
07-08,175500
07-09,283700
07-10,382000
07-11,182900
07-12,168700
07-13,200500
07-14,195700
07-15,203500
07-16,239000
07-17,248900
07-18,123500
07-19,126800
07-20,86100
07-21,131700
07-22,93700
07-23,100200
07-24,196000
07-25,377600
07-26,150600
07-27,53400
07-28,95000
07-29,86900
07-30,89400
07-31,179800
08-01,269000
08-02,142300
08-03,220900
08-04,268700
08-05,112800
08-06,142700
08-07,176800
08-08,163800
08-09,170700
08-10,119100
08-11,30300
08-12,67500
08-13,105600
08-14,150500
08-15,200700
08-16,178900
08-17,80400
08-19,137000
08-20,157900
08-21,8200
08-22,164400
08-23,136900
08-24,201100
08-25,210600
08-26,152000
08-27,134100
08-28,105700
08-29,154000
08-30,137900
08-31,146900
09-01,216400
09-02,365100
09-03,187100
09-04,245200
09-05,274900
09-06,193400
09-07,368700
09-08,315100
09-09,303100
09-10,182900
09-11,202800
09-12,419700
09-13,344100
09-14,322400
09-15,217400
09-16,373100
09-17,343000
09-18,321000
09-19,219700
09-20,237300
09-21,216300
09-22,130200
09-23,179500
09-24,148000
09-25,256500
09-26,296200
09-27,255000
09-28,185700
09-29,167500
09-30,219800
10-01,430900
10-02,347000
10-03,339700
10-04,229300
10-05,267700
10-06,324600
10-07,230400
10-08,221800
10-09,281500
10-10,361100
10-11,361400
10-12,262600
10-13,270700
10-14,207800
10-15,293400
10-16,310400
10-17,252100
10-18,244700
10-19,174200
10-20,264400
10-21,341100
10-22,174100
10-23,278600
10-24,221600
10-25,226400
10-26,297100
10-27,148600
10-28,185600
10-29,157300
10-30,150400
10-31,231300
11-01,353300
11-02,330100
11-03,318300
11-04,242300
11-05,394100
11-06,300200
11-07,392100
11-08,302800
11-09,318100
11-10,491800
11-11,466800
11-12,451200
11-13,374200
11-14,185500
11-15,246100
11-16,346900
11-17,232400
11-19,332800
11-20,277800
11-21,286200
11-22,234400
11-23,261500
11-24,252200
11-25,212700
11-26,290600
11-27,272400
11-28,153100
11-29,288100
11-30,340700
12-01,433100
12-02,432600
12-03,398200
12-04,446000
12-05,383800
12-06,268300
12-07,369100
12-08,362300
12-09,327800
12-10,300700
12-11,325300
12-12,366200
12-13,338800
12-14,308600
12-15,406200
12-16,349100
12-17,291300
12-18,241900
12-19,226200
12-20,287200
12-21,304600
12-22,436000
12-23,220700
12-24,363900
12-25,235400
12-26,210800
12-27,343200
12-28,468700
12-29,264300
12-30,376000
12-31,364300
01-01,429200
01-02,401000
01-03,314800
01-04,356900
01-05,148800
01-06,307200
01-07,273500
01-08,242600
01-09,215300
01-10,336000
01-11,341600
01-12,329300
01-13,289800
01-14,268900
01-15,261100
01-16,378500
01-17,324400
01-18,254400
01-19,248100
01-20,222900
01-21,393900
01-22,310100
01-23,329200
01-24,350400
01-25,228200
01-26,128800
01-27,197100
01-28,494200
01-29,378100
01-30,211500
01-31,297000
02-01,469500
02-02,289000
02-03,338700
02-04,231400
02-05,367000
02-06,235900
02-07,597700
02-08,234200
02-09,139000
02-10,407900
02-11,292200
02-12,459000
02-13,282300
02-14,282700
02-15,297300
02-16,234100
02-17,381000
02-18,293600
02-19,241100
02-20,380200
02-21,192900
02-22,194300
02-23,175300
02-24,243100
02-25,391600
02-26,304200
02-27,338000
02-28,457200
03-01,245300
03-02,122300
03-03,201000
03-04,319700
03-05,253100
03-06,286800
03-07,308500
03-08,275000
03-09,379300
03-10,304000
03-11,263700
03-12,426200
03-13,286400
03-14,337800
03-15,453000
03-16,331100
03-17,305200
03-18,313500
03-19,207400
03-20,444200
03-21,272700
03-22,257000
03-23,219300
03-24,269600
03-25,295700
03-26,254200
03-27,91200
03-28,360000
03-29,361100
03-30,388500
03-31,379800
04-01,377700
04-02,404600
04-03,297700
04-04,297500
04-05,400200
04-06,222900
04-07,370000
04-08,295600
04-09,274600
04-10,458200
04-11,403300
04-12,319500
04-13,263200
04-14,233300
04-15,337000
04-16,443400
04-17,228400
04-18,148500
04-19,332900
04-20,389200
04-21,240800
04-22,211900
04-23,360600
04-24,309300
04-25,282300
04-26,309600
04-27,475300
04-28,307000
04-29,310500
04-30,460800
05-01,355500
05-02,236800
05-03,575300
05-04,276500
05-05,572600
05-06,197500
05-07,210700
05-08,450400
05-09,348900
05-10,315400
05-11,338400
05-12,329000
05-13,423000
05-14,405000
05-15,357900
05-16,291200
05-17,169300
05-18,443200
05-19,321500
05-20,262300
05-21,425500
05-22,425400
05-23,327100
05-24,283000
05-25,136900
05-27,102500
05-28,191300
05-29,219200
05-30,289500
05-31,401400
06-01,431100
06-02,467400
06-03,328600
06-04,408100
06-05,288500
06-06,293400
06-07,209700
06-08,473500
06-09,379000
06-10,309600
06-11,484000
06-12,341500
06-13,325500
06-14,382900
06-15,421900
06-16,332700
06-17,387200
06-18,397300
06-19,344000
06-20,557700
06-21,268600
06-22,463800
06-23,179800
06-24,218800
06-25,196000
06-26,162100
06-27,346000
06-28,320800
06-29,407100
06-30,425600
07-01,273400
07-02,342500
07-03,426300
07-04,568600
07-05,375400
07-06,334300
07-07,531100
07-08,328400
07-09,509900
07-10,471700
07-11,357200
07-12,280600
07-13,285500
07-14,175200
07-15,341500
07-16,475300
07-17,517800
07-18,431200
07-19,484700
07-20,227200
07-21,379800
07-22,295800
07-23,218800
07-24,285600
07-25,272700
07-26,295200
07-27,199700
07-28,324400
07-29,297400
07-30,259700
07-31,240500
08-01,495900
08-02,586900
08-03,292900
08-04,373100
08-05,362800
08-06,292200
08-07,444300
08-08,363300
08-09,335700
08-10,439200
08-11,428000
08-12,338000
08-13,350600
08-14,608800
08-16,306200
08-17,180100
08-18,440600
08-19,460500
08-20,343800
08-21,291700
08-22,220800
08-23,265000
08-24,331400
08-25,334000
08-26,342300
08-27,304700
08-28,294600
08-29,191900
08-30,347500
08-31,396300
09-01,417800
09-02,312200
09-03,368500
09-04,344600
09-05,295100
09-06,377800
09-07,611700
09-08,479300
09-09,394200
09-10,480800
09-11,279800
09-12,415600
09-13,426700
09-14,362200
09-15,424200
09-16,187800
09-17,315700
09-18,275600
09-19,338300
09-20,160700
09-21,223800
09-22,261000
09-23,289600
09-24,319000
09-25,323900
09-26,283700
09-27,346900
09-28,462600
09-29,536200
09-30,371000
10-01,391300
10-02,436500
10-03,400000
10-04,366400
10-05,395200
10-06,474200
10-07,366400
10-08,509600
10-09,334900
10-10,446800
10-11,343900
10-12,451700
10-13,488800
10-14,622400
10-15,456800
10-16,234100
10-17,277900
10-18,456800
10-19,371300
10-20,367100
10-21,288000
10-22,234100
10-23,325800
10-24,363400
10-25,330900
10-26,417500
10-27,239500
10-28,272600
10-29,540600
10-30,381000
10-31,495100
11-01,572700
11-02,449800
11-03,387200
11-04,220900
11-05,273500
11-06,375900
11-07,426000
11-08,361100
11-09,326500
11-10,361600
11-11,273800
11-12,343200
11-13,487300
11-14,353300
11-15,491200
11-16,468600
11-17,394700
11-18,313800
11-19,329400
11-20,267600
11-21,379700
11-22,358100
11-23,408600
11-24,191100
11-25,411300
11-26,431100
11-27,219700
11-28,450400
11-29,430600
11-30,290800
12-01,358500
12-02,443800
12-03,484600
12-04,479500
12-05,451200
12-06,585200
12-07,479600
12-08,321300
12-09,377700
12-10,308800
12-11,413200
12-12,352400
12-23,92500
12-24,147300
12-25,330400
12-26,340800
12-27,273000
12-28,353900
12-29,312900
12-30,328700
12-31,607900
01-01,360800
01-02,257500
01-03,336400
01-04,352600
01-05,516200
01-06,420700
01-07,593100
01-08,463800
01-09,508700
01-10,420900
01-11,435200
01-12,340600
01-13,287100
01-14,252600
01-15,461600
01-16,438400
01-17,342800
01-18,404500
01-19,389500
01-20,310400
01-21,319800
01-22,220000
01-23,264600
01-24,385300
01-25,258500
01-26,415800
01-27,279800
01-28,398200
01-29,234200
01-30,274700
01-31,401100
02-01,384700
02-02,543000
02-03,344200
02-04,540000
02-05,354500
02-06,335000
02-07,545900
02-08,385900
02-09,175500
02-10,316100
02-11,396100
02-12,485800
02-13,361600
02-14,559300
02-15,400300
02-16,376100
02-17,259100
02-18,377600
02-19,401700
02-20,363200
02-21,484400
02-22,316300
02-23,310700
02-24,301000
02-25,271300
02-26,222100
02-27,266000
02-28,453000
03-01,573800
03-02,478400
03-03,547600
03-04,563500
03-05,460500
03-06,391000
03-07,428200
03-08,683500
03-09,350000
03-10,423900
03-11,339300
03-12,406600
03-13,305100
03-14,333300
03-15,489000
03-16,368300
03-17,118800
03-18,360200
03-19,455000
03-20,422700
03-21,357500
03-22,238300
03-23,288900
03-24,338200
03-25,372700
03-26,468900
03-27,510400
03-28,378700
03-29,356900
03-30,340100
03-31,765300
04-02,313900
04-03,423800
04-04,478100
04-05,401700
04-06,360500
04-07,462300
04-08,476200
04-09,408700
04-10,637200
04-11,441100
04-12,439100
04-13,257900
04-14,126200
04-15,200600
04-16,499800
04-17,472100
04-18,413600
04-19,372300
04-20,361100
04-21,322500
04-22,439100
04-23,371700
04-24,29300
04-25,331000
04-26,511300
04-27,254000
04-28,295200
04-29,374100
04-30,361500
05-01,349200
05-02,473000
05-03,248200
05-04,340500
05-05,190900
05-06,155700
