transaction_day,total_amount_withdrawn
03-30,510600
03-31,661500
04-01,503800
04-02,541600
04-03,751200
04-04,639600
04-05,527100
04-06,372300
04-07,711900
04-08,393900
04-09,653100
04-10,364400
04-11,616200
04-12,689200
04-13,293100
04-14,405200
04-15,253700
04-16,426800
04-17,180400
04-18,630200
04-19,367300
04-20,466000
04-21,600000
04-22,372200
04-23,594300
04-24,310100
04-25,452000
04-26,558000
04-27,421900
04-28,406400
04-29,316300
04-30,312400
05-01,266200
05-02,662200
05-03,481200
05-04,277900
05-05,53400
05-06,28300
05-07,33100
05-08,380300
05-09,671200
05-10,682400
05-11,467300
05-12,968700
05-13,350200
05-14,449100
05-15,570600
05-16,660400
05-17,289100
05-18,556800
05-19,404800
05-20,123800
05-21,527800
05-22,601100
05-23,504400
05-24,359300
05-25,487500
05-26,608100
05-27,364200
05-28,718600
05-29,423300
05-30,404600
05-31,580000
06-01,626100
06-02,904600
06-03,518300
06-04,523600
06-05,561500
06-06,599600
06-07,464600
06-08,763100
06-09,823100
06-10,512500
06-11,522200
06-12,691600
06-13,610000
06-14,832900
06-15,644900
06-16,755900
06-17,429300
06-18,507100
06-19,403500
06-20,512500
06-21,258200
06-22,534100
06-23,498400
06-24,315300
06-25,491100
06-26,607300
06-27,430100
06-28,467100
06-29,506200
06-30,420800
07-01,558200
07-02,802500
07-03,493900
07-04,621100
07-05,692500
07-06,491800
07-07,404200
07-08,573700
07-09,535600
07-10,449600
07-11,701800
07-12,339000
07-13,384700
07-14,622300
07-15,389600
07-16,568400
07-17,555800
07-18,587400
07-19,611500
07-20,456800
07-21,823500
07-22,502300
07-23,359900
07-24,499200
07-25,339900
07-26,639900
07-27,552100
07-28,438900
07-29,376100
07-30,587700
07-31,587800
08-01,850900
08-02,636300
08-03,554300
08-04,708400
08-05,700700
08-06,658200
08-07,647600
08-08,610800
08-09,583000
08-10,550100
08-11,632000
08-12,386500
08-13,617800
08-14,660700
08-15,542600
08-16,702600
08-17,502800
08-18,531900
08-19,176600
08-20,396900
08-21,600600
08-22,447600
08-23,268300
08-24,586000
08-25,778700
08-26,444000
08-27,360500
08-28,425600
08-29,354700
08-30,390400
08-31,606200
09-01,878300
09-02,346000
09-03,574600
09-04,791800
09-05,540500
09-06,557200
09-07,538300
09-08,409700
09-09,254300
09-10,695800
09-11,671500
09-12,451700
09-13,455500
09-14,624200
09-15,589800
09-16,345100
09-17,544900
09-18,502800
09-19,217100
09-20,469200
09-21,545800
09-22,546000
09-23,232500
09-24,503400
09-25,391900
09-26,484200
09-27,454000
09-28,536900
09-29,213200
09-30,487300
10-01,884200
10-02,426900
10-03,498700
10-04,524900
10-05,566000
10-06,502700
10-07,454400
10-08,793500
10-09,621500
10-10,678200
10-11,600000
10-12,182700
10-13,267300
10-14,481500
10-15,946600
10-16,554300
10-17,526700
10-18,236400
10-19,276600
10-20,564200
10-21,292200
10-22,651100
10-23,313400
10-24,451800
10-25,428400
10-26,518200
10-27,494700
10-28,307000
10-29,556300
10-30,112000
10-31,327500
11-01,655600
11-02,555500
11-03,498900
11-04,607000
11-05,757600
11-06,508900
11-07,956700
11-08,749100
11-09,678100
